claim_id,claim,status,evidence,allowed_interpretation,prohibited_interpretation
C2_01,"Azami defines the present phenotypic field that EAzami must explain",supported,"PR108; PR115; PR118","one-way empirical-to-generative dependency","Azami and EAzami are independent parallel trait projects"
C2_02,"The frozen empirical handoff contains 62 exact observational estimands",supported,"azami_capitulum_space_handoff_report_v1.json and source target CSVs","reproducible compression of present-day phenotype/environment structure","62 causal effects"
C2_03,"NULL_COUPLED is the robust scalar-target structural-sufficiency winner",supported,"PR119; azami_capitulum_v3_one_shot_decision_v1.json","best of 14 frozen prior-predictive families for the 62 scalar targets","true history; climate has no effect"
C2_04,"NULL_COUPLED ranks first in all 16 primary paired draws and in min2 sensitivity",supported,"PR119","stable relative scalar-target ranking under the frozen screen","posterior probability of NULL"
C2_05,"The frozen scalar winner fails the held-out scale-specific support geometry",supported,"PR120","scalar adequacy does not imply hierarchical inferential adequacy","PR119 winner is retroactively invalid"
C2_06,"Primary held-out support pattern occurs in 0/64 NULL_COUPLED draws",supported,"PR120; azami_capitulum_v3_null_heldout_support_decision_v1.json","held-out pattern is exceptional under frozen NULL generator","exact frequentist probability of the true historical null"
C2_07,"Among-taxon growing-season-water support is especially poorly reproduced by NULL",supported,"PR120 cell frequencies","mismatch is localized toward among-taxon process information","GSP is proven causal selective agent"
C2_08,"PROCESS_AMONG_ONLY_SHARED_COUPLED improves strongly over NULL but is not adequate",supported,"PR123","among-only process direction is diagnostically promising but insufficient","among-only model explains the data"
C2_09,"No tested post-heldout addition satisfies the frozen adequacy rule",supported,"PR123","current tested model family remains incomplete","all possible environmental histories are rejected"
C2_10,"Present-day scalar geometry and historical identifiability are distinct",inference,"C2_03 through C2_09","richer representations of the present can reject histories left admissible by scalar compression","a universal theorem proven for all biological systems"
C2_11,"EAzami should output an admissible-history set rather than a single true history",conceptual_inference,"sequential frozen constraints and accepted negative results","formal framing of the current workflow","actual realized evolutionary trajectory already reconstructed"
C2_12,"Japan38 nuclear topology requires repeated changes in multiple capitulum traits",supported,"frozen Comp1061 ML + 1000 UFBoot; source-backed trait states","orthogonal realized-history constraint","repeated adaptive convergence"
C2_13,"Simple shared whole-capitulum evolutionary lability is not supported",supported,"branch-length-aware and topology-only common-lability analyses","one simple common-lability alternative is disfavored","genetic/developmental modularity proven"
C2_14,"Nuclear population genomics + plastid haplotype + cytotype is the next ancestry discriminator",planned,"DOCTORAL_NEXT_DATA_GATE_2026-08-19.md","future test of standing variation vs introgression vs lineage-specific origin","evidence already collected"
C2_15,"Functional adaptation remains a downstream gate",supported_boundary,"FDT1/field readiness contracts","trait-function-fitness requires independent intervention","image morphology directly equals function"
C2_16,"Flower-colour loss/regain is no longer the central Chapter 2 question",project_decision,"docs/chapter2/README.md","retain colour as secondary molecular/historical module","reopen frozen colour anti-phylogenetic rescue as main story"
